,size,floor,bed,toilet,price,bts,uni,คลองเตย กล้วยน้ำไท,ชะอำ เพชรบุรี,ท่าพระ ตลาดพลู วุฒากาศ,นครปฐม พุทธมณฑล ศาลายา,นนทบุรี บางใหญ่ บางบัวทอง,นวมินทร์ รามอินทรา,นานา,บางซื่อ วงศ์สว่าง เตาปูน,บางนา แบริ่ง ลาซาล,บางแค เพชรเกษม,ปทุมธานี รังสิต ธรรมศาสตร์,ปิ่นเกล้า จรัญสนิทวงศ์,พระราม 2 บางขุนเทียน,พระราม 3 สาธุประดิษฐ์,พระราม 5 ราชพฤกษ์ บางกรวย,พระราม 8 สามเสน ราชวัตร,พระราม 9 เพชรบุรีตัดใหม่ RCA,พัฒนาการ ศรีนครินทร์,พัทยา บางแสน ชลบุรี สัตหีบ,ภูเก็ต,ระยอง,รัชดา ห้วยขวาง,รัตนาธิเบศร์ สนามบินน้ำ พระนั่งเกล้า,ราชเทวี พญาไท ,รามคำแหง หัวหมาก,ราษฎร์บูรณะ สุขสวัสดิ์,ลาดกระบัง สุวรรณภูมิ,ลาดพร้าว เซ็นทรัลลาดพร้าว,ลาดพร้าว101 แฮปปี้แลนด์,วงเวียนใหญ่ เจริญนคร,วิทยุ ชิดลม หลังสวน,วิภาวดี ดอนเมือง หลักสี่ ,ศรีราชา แหลมฉบัง บ้านบึง,สมุทรปราการ สำโรง,สยาม จุฬา สามย่าน,สะพานควาย จตุจักร,สาทร นราธิวาส,สีลม ศาลาแดง บางรัก,สุขุมวิท อโศก ทองหล่อ,หัวหิน ประจวบคีรีขันธ์,อยุธยา,อารีย์ อนุสาวรีย์ ,อ่อนนุช อุดมสุข,เกษตร นวมินทร์ ลาดปลาเค้า,เกษตรศาสตร์ รัชโยธิน,เชียงใหม่,เพชรบูรณ์,เยาวราช บางลำพู,เลียบทางด่วนรามอินทรา,เสรีไทย-นิด้า,เอกชัย บางบอน,แจ้งวัฒนะ เมืองทอง,โคราช เขาใหญ่ ปากช่อง,โชคชัย4 ลาดพร้าว71
27,39,50,2,1,3990000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,23,14,2,1,1280000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,32,10,2,1,2450000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,193,50,4,3,22900000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,33,50,2,1,3450000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,29,14,2,1,2600000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,34,20,1,1,4820000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,30,10,2,1,2580000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,31,50,2,1,3200000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,76,50,3,2,12700000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,30,10,2,1,2750000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,135,50,4,3,25000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,32,20,2,1,2550000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,579,50,5,5,150000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,31,50,1,1,4500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,35,50,2,1,3750000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
